NAMA UNIT,LONGITUDE,LATITUDE,Gamma Dose Rate (nSv/h),LAST UPDATE (WIB)
CTBT Jayapura,140.703889,-2.514485,9.17,2026-07-28 22:00
St.Mteo.Kls.III Tanjung Pinang,104.528402,0.922974,52.7,2026-07-28 22:00
St.Mteo.Kls.I Gorontalo,122.85245,0.638403,30.2,2026-07-28 22:00
St.Mteo.Kls.III Tapanuli Tengah,98.897484,1.553331,21.4,2026-07-28 22:00
St.Mteo.Kls.III Tana Toraja,119.912333,-3.189236,38.0,2026-07-28 22:00
St.Mteo.Kls.III Sintang,111.459424,-0.043007,26.4,2026-07-28 22:00
St.Mteo.Kls.III Bengkulu,102.336618,-3.858194,36.6,2026-07-28 22:00
St.Mteo.Kls.III Cilacap,109.015062,-7.71865,30.2,2026-07-28 22:00
St.Mteo.Kls I Pekanbaru,101.447262,0.45922,37.6,2026-07-28 22:00
St.Geof.Kls.III Banjarnegara,109.709794,-7.333222,23.34,2026-07-28 22:00
St.Mteo.Kls.I.Supadio.Pontianak,109.4,0.15,47.59,2026-07-28 22:00
St.Mteo.Kls.I.Supadio.Pontianak,109.403009,-0.141549,47.21325908008112,2026-07-29 04:00:00
BRIN KSE Achmad Baiquni Yogyakarta,110.41275,-7.778108,48.52001822541752,2026-07-29 03:50:01
